Interests,Budget Range,Travel Type,Accommodation Preference,Transport Preferences,Preferred Locations,Activities
"Wildlife, Beach, Culture",High,Group,Luxury,Bus,"Udawalawa, Sinharaja, Minneriya, Puttalam, Tangalle, Polonnaruwa, Dambulla, Mihintale",Elephant watching in Udawalawa; Trek in Sinharaja Rainforest; Visit the elephant gathering in Minneriya; Birdwatch at Puttalam Lagoon; Relax at Tangalle Beach; Explore ancient ruins in Polonnaruwa; Explore Dambulla Cave Temple; Climb Mihintale Rock Temple
"Adventure, Culture",Medium,Group,Eco-friendly,Bus,"Arugambay, Unawatuna, Anuradhapura, Galle",Surf in Arugambay; Relax at Unawatuna Beach; Visit ancient stupas in Anuradhapura; Explore Dutch Fort in Galle
Wildlife,High,Family,Luxury,Bus,"Minneriya, Wilpattu",Visit the elephant gathering in Minneriya; Explore Wilpattu National Park
Beach,High,Group,Eco-friendly,Bus,Arugambay,Surf in Arugambay
Wildlife,High,Group,Budget,Train,"Sinharaja, Minneriya",Trek in Sinharaja Rainforest; Visit the elephant gathering in Minneriya
"Wildlife, Relaxation",Low,Solo,Luxury,Rental Car,"Sinharaja, Wilpattu, Habarana, Unawatuna, Colombo",Trek in Sinharaja Rainforest; Explore Wilpattu National Park; Safari in Habarana; Relax at Unawatuna Beach; Visit a Gangaramaya Temple
"Wildlife, Beach",Medium,Family,Eco-friendly,Bus,"Sinharaja, Habarana, Tangalle, Pasikudah, Jaffna",Trek in Sinharaja Rainforest; Safari in Habarana; Relax at Tangalle Beach; Enjoy snorkeling in Pasikudah; Visit Jaffna Fort
"Relaxation, Adventure, Culture",Low,Group,Eco-friendly,Train,"Galle, Hatton, Unawatuna, Ella, Colombo",Explore Dutch Fort in Galle; Hike Adam’s Peak; Relax at Unawatuna Beach; Hike Ella Rock; Visit a Gangaramaya Temple
"Beach, Relaxation, Culture",High,Family,Luxury,Bus,"Dickwella, Arugambay, Weligama, Colombo, Sigiriya, Mihintale",Visit the Beach; Surf in Arugambay; Take surfing lessons in Weligama; Visit a Gangaramaya Temple; Visit Sigiriya Rock Fortress; Climb Mihintale Rock Temple
"Wildlife, Beach, Adventure",High,Family,Luxury,Train,"Udawalawa, Jaffna, Dickwella, Nuwara Eliya, Mirissa",Elephant watching in Udawalawa; Visit Jaffna Fort; Visit the Beach; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa
"Wildlife, Beach, Culture",Medium,Group,Eco-friendly,Rental Car,"Wilpattu, Matara, Koggala, Trincomalee, Ratnapura",Explore Wilpattu National Park; Visit Parey Dewa in Matara; Relax at Koggala Beach; Snorkel at Pigeon Island; Visit gem mines in Ratnapura
"Beach, Adventure, Wildlife",Medium,Family,Budget,Bus,"Galle, Negombo, Tangalle, Hikkaduwa, Mirissa, Unawatuna, Udawalawa",Explore Dutch Fort in Galle; Relax on Negombo Beach; Relax at Tangalle Beach; Snorkel in Hikkaduwa; Go whale watching in Mirissa; Relax at Unawatuna Beach; Elephant watching in Udawalawa
"Relaxation, Culture",Medium,Group,Eco-friendly,Bus,"Unawatuna, Hambanthota, Kandy, Dambulla, Galle",Relax at Unawatuna Beach; Explore Bundala National Park; Visit the Temple of the Sacred Tooth Relic; Explore Dambulla Cave Temple; Explore Dutch Fort in Galle
Beach,High,Family,Eco-friendly,Rental Car,"Hambanthota, Unawatuna, Pasikudah",Explore Bundala National Park; Relax at Unawatuna Beach; Enjoy snorkeling in Pasikudah
"Relaxation, Wildlife",Low,Family,Budget,Train,"Weligama, Hatton, Sinharaja, Minneriya",Take surfing lessons in Weligama; Hike Adam’s Peak; Trek in Sinharaja Rainforest; Visit the elephant gathering in Minneriya
"Beach, Culture",High,Group,Luxury,Bus,"Arugambay, Hikkaduwa, Puttalam, Kandy, Mihintale, Colombo",Surf in Arugambay; Snorkel in Hikkaduwa; Birdwatch at Puttalam Lagoon; Visit the Temple of the Sacred Tooth Relic; Climb Mihintale Rock Temple; Visit a Gangaramaya Temple
Adventure,Low,Solo,Budget,Train,Ella,Hike Ella Rock
"Relaxation, Adventure",Medium,Group,Eco-friendly,Rental Car,"Kalutara, Arugambay, Mirissa, Sinharaja",Visit Kalutara Bodhiya; Surf in Arugambay; Go whale watching in Mirissa; Trek in Sinharaja Rainforest
Wildlife,Medium,Solo,Eco-friendly,Train,"Udawalawa, Minneriya",Elephant watching in Udawalawa; Visit the elephant gathering in Minneriya
"Culture, Beach",High,Family,Eco-friendly,Rental Car,"Ratnapura, Polonnaruwa, Koggala, Dickwella, Negombo, Unawatuna",Visit gem mines in Ratnapura; Explore ancient ruins in Polonnaruwa; Relax at Koggala Beach; Visit the Beach; Relax on Negombo Beach; Relax at Unawatuna Beach
"Beach, Wildlife, Relaxation",Medium,Solo,Eco-friendly,Bus,"Pasikudah, Hikkaduwa, Udawalawa, Dambulla",Enjoy snorkeling in Pasikudah; Snorkel in Hikkaduwa; Elephant watching in Udawalawa; Explore Dambulla Cave Temple
"Wildlife, Adventure, Culture",Low,Family,Luxury,Train,"Habarana, Wilpattu, Nuwara Eliya, Mirissa, Kandy, Koggala, Dambulla",Safari in Habarana; Explore Wilpattu National Park; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa; Visit the Temple of the Sacred Tooth Relic; Relax at Koggala Beach; Explore Dambulla Cave Temple
"Beach, Adventure, Relaxation",Medium,Group,Luxury,Train,"Negombo, Galle, Jaffna, Nuwara Eliya, Sinharaja, Ella, Kalutara",Relax on Negombo Beach; Explore Dutch Fort in Galle; Visit Jaffna Fort; Tour tea plantations in Nuwara Eliya; Trek in Sinharaja Rainforest; Hike Ella Rock; Visit Kalutara Bodhiya
"Culture, Relaxation, Adventure",Low,Group,Budget,Rental Car,"Ratnapura, Anuradhapura, Ella, Koggala, Weligama, Nuwara Eliya",Visit gem mines in Ratnapura; Visit ancient stupas in Anuradhapura; Hike Ella Rock; Relax at Koggala Beach; Take surfing lessons in Weligama; Tour tea plantations in Nuwara Eliya
Culture,Low,Group,Luxury,Train,Trincomalee,Snorkel at Pigeon Island
"Beach, Culture",Low,Solo,Eco-friendly,Train,"Dickwella, Sigiriya, Mihintale",Visit the Beach; Visit Sigiriya Rock Fortress; Climb Mihintale Rock Temple
Wildlife,Low,Family,Eco-friendly,Bus,"Sinharaja, Minneriya",Trek in Sinharaja Rainforest; Visit the elephant gathering in Minneriya
"Beach, Culture, Adventure",Low,Group,Luxury,Bus,"Hikkaduwa, Dickwella, Bentota, Trincomalee, Arugambay",Snorkel in Hikkaduwa; Visit the Beach; Jet skiing in Bentota; Snorkel at Pigeon Island; Surf in Arugambay
Adventure,Medium,Family,Luxury,Rental Car,"Mirissa, Unawatuna",Go whale watching in Mirissa; Relax at Unawatuna Beach
"Beach, Adventure, Relaxation",High,Group,Budget,Rental Car,"Jaffna, Unawatuna, Hambanthota, Nuwara Eliya, Unawatuna",Visit Jaffna Fort; Relax at Unawatuna Beach; Explore Bundala National Park; Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach
"Beach, Culture, Adventure",High,Solo,Budget,Train,"Unawatuna, Dambulla, Trincomalee, Galle, Arugambay, Unawatuna, Nuwara Eliya",Relax at Unawatuna Beach; Explore Dambulla Cave Temple; Snorkel at Pigeon Island; Explore Dutch Fort in Galle; Surf in Arugambay; Relax at Unawatuna Beach; Tour tea plantations in Nuwara Eliya
Adventure,Medium,Family,Budget,Rental Car,"Sinharaja, Arugambay",Trek in Sinharaja Rainforest; Surf in Arugambay
"Wildlife, Relaxation",Medium,Solo,Eco-friendly,Bus,"Minneriya, Sinharaja, Wilpattu, Kalutara, Colombo, Dambulla",Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest; Explore Wilpattu National Park; Visit Kalutara Bodhiya; Visit a Gangaramaya Temple; Explore Dambulla Cave Temple
"Beach, Relaxation",High,Solo,Budget,Rental Car,"Bentota, Hikkaduwa, Negombo, Galle, Colombo",Jet skiing in Bentota; Snorkel in Hikkaduwa; Relax on Negombo Beach; Explore Dutch Fort in Galle; Visit a Gangaramaya Temple
"Adventure, Beach, Wildlife",Medium,Family,Luxury,Train,"Ella, Negombo, Yala, Habarana",Hike Ella Rock; Relax on Negombo Beach; Safari in Yala National Park; Safari in Habarana
Adventure,Medium,Solo,Eco-friendly,Train,"Mirissa, Ella, Hikkaduwa",Go whale watching in Mirissa; Hike Ella Rock; Snorkel in Hikkaduwa
"Beach, Culture, Wildlife",Medium,Solo,Eco-friendly,Train,"Matara, Jaffna, Sigiriya, Kandy, Yala",Visit Parey Dewa in Matara; Visit Jaffna Fort; Visit Sigiriya Rock Fortress; Visit the Temple of the Sacred Tooth Relic; Safari in Yala National Park
Relaxation,Medium,Family,Luxury,Rental Car,Kandy,Visit the Temple of the Sacred Tooth Relic
"Relaxation, Adventure",Medium,Family,Eco-friendly,Train,"Weligama, Ella, Koggala, Unawatuna",Take surfing lessons in Weligama; Hike Ella Rock; Relax at Koggala Beach; Relax at Unawatuna Beach
"Adventure, Relaxation, Culture",Low,Group,Budget,Bus,"Sinharaja, Nuwara Eliya, Mirissa, Kalutara, Koggala, Kalutara, Anuradhapura, Polonnaruwa",Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa; Visit Kalutara Bodhiya; Relax at Koggala Beach; Visit Kalutara Bodhiya; Visit ancient stupas in Anuradhapura; Explore ancient ruins in Polonnaruwa
"Culture, Adventure, Wildlife",Medium,Group,Luxury,Train,"Kalutara, Kandy, Mirissa, Hikkaduwa, Wilpattu, Minneriya",Visit Kalutara Bodhiya; Visit the Temple of the Sacred Tooth Relic; Go whale watching in Mirissa; Snorkel in Hikkaduwa; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya
"Culture, Beach, Relaxation",High,Solo,Eco-friendly,Rental Car,"Mihintale, Dambulla, Pasikudah, Hambanthota, Negombo, Kandy",Climb Mihintale Rock Temple; Explore Dambulla Cave Temple; Enjoy snorkeling in Pasikudah; Explore Bundala National Park; Relax on Negombo Beach; Visit the Temple of the Sacred Tooth Relic
Wildlife,High,Solo,Eco-friendly,Rental Car,"Wilpattu, Yala, Sinharaja",Explore Wilpattu National Park; Safari in Yala National Park; Trek in Sinharaja Rainforest
"Wildlife, Relaxation, Adventure",Low,Solo,Luxury,Bus,"Minneriya, Arugambay, Hikkaduwa",Visit the elephant gathering in Minneriya; Surf in Arugambay; Snorkel in Hikkaduwa
"Relaxation, Adventure, Culture",Low,Group,Eco-friendly,Rental Car,"Kandy, Galle, Mirissa, Unawatuna, Ella, Kalutara, Sigiriya, Koggala",Visit the Temple of the Sacred Tooth Relic; Explore Dutch Fort in Galle; Go whale watching in Mirissa; Relax at Unawatuna Beach; Hike Ella Rock; Visit Kalutara Bodhiya; Visit Sigiriya Rock Fortress; Relax at Koggala Beach
"Relaxation, Culture, Adventure",Medium,Solo,Budget,Bus,"Kalutara, Kandy, Ella, Mirissa",Visit Kalutara Bodhiya; Visit the Temple of the Sacred Tooth Relic; Hike Ella Rock; Go whale watching in Mirissa
"Adventure, Beach, Wildlife",Medium,Group,Budget,Bus,"Nuwara Eliya, Kalutara, Udawalawa, Wilpattu",Tour tea plantations in Nuwara Eliya; Visit Kalutara Bodhiya; Elephant watching in Udawalawa; Explore Wilpattu National Park
"Adventure, Beach",Medium,Solo,Eco-friendly,Bus,"Unawatuna, Nuwara Eliya, Bentota, Arugambay",Relax at Unawatuna Beach; Tour tea plantations in Nuwara Eliya; Jet skiing in Bentota; Surf in Arugambay
"Beach, Wildlife",Low,Group,Budget,Train,"Hikkaduwa, Arugambay, Mirissa, Sinharaja, Habarana",Snorkel in Hikkaduwa; Surf in Arugambay; Go whale watching in Mirissa; Trek in Sinharaja Rainforest; Safari in Habarana
Beach,Low,Group,Budget,Bus,"Pasikudah, Jaffna, Hambanthota",Enjoy snorkeling in Pasikudah; Visit Jaffna Fort; Explore Bundala National Park
"Relaxation, Culture, Beach",Medium,Group,Luxury,Bus,"Dambulla, Galle, Colombo, Bentota, Tangalle",Explore Dambulla Cave Temple; Explore Dutch Fort in Galle; Visit a Gangaramaya Temple; Jet skiing in Bentota; Relax at Tangalle Beach
"Adventure, Culture, Wildlife",Low,Solo,Budget,Train,"Ella, Koggala, Sinharaja, Udawalawa, Habarana",Hike Ella Rock; Relax at Koggala Beach; Trek in Sinharaja Rainforest; Elephant watching in Udawalawa; Safari in Habarana
Relaxation,High,Family,Budget,Bus,"Negombo, Unawatuna, Hambanthota",Relax on Negombo Beach; Relax at Unawatuna Beach; Explore Bundala National Park
"Culture, Adventure, Wildlife",Medium,Group,Luxury,Train,"Kalutara, Unawatuna, Minneriya, Yala, Habarana",Visit Kalutara Bodhiya; Relax at Unawatuna Beach; Visit the elephant gathering in Minneriya; Safari in Yala National Park; Safari in Habarana
"Wildlife, Adventure",High,Family,Luxury,Rental Car,"Sinharaja, Nuwara Eliya, Hikkaduwa, Ella",Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya; Snorkel in Hikkaduwa; Hike Ella Rock
"Adventure, Beach, Wildlife",High,Family,Luxury,Rental Car,"Hikkaduwa, Hambanthota, Minneriya",Snorkel in Hikkaduwa; Explore Bundala National Park; Visit the elephant gathering in Minneriya
"Beach, Culture, Adventure",Low,Solo,Budget,Rental Car,"Negombo, Kalutara, Puttalam, Dambulla, Nuwara Eliya",Relax on Negombo Beach; Visit Kalutara Bodhiya; Birdwatch at Puttalam Lagoon; Explore Dambulla Cave Temple; Tour tea plantations in Nuwara Eliya
"Relaxation, Beach",Low,Solo,Eco-friendly,Train,"Dambulla, Mirissa, Matara, Unawatuna",Explore Dambulla Cave Temple; Go whale watching in Mirissa; Visit Parey Dewa in Matara; Relax at Unawatuna Beach
Culture,Low,Group,Eco-friendly,Rental Car,"Kalutara, Anuradhapura",Visit Kalutara Bodhiya; Visit ancient stupas in Anuradhapura
"Relaxation, Culture",High,Solo,Eco-friendly,Bus,"Matara, Kandy, Colombo",Visit Parey Dewa in Matara; Visit the Temple of the Sacred Tooth Relic; Visit a Gangaramaya Temple
"Beach, Wildlife",Medium,Group,Eco-friendly,Rental Car,"Pasikudah, Minneriya, Yala, Habarana",Enjoy snorkeling in Pasikudah; Visit the elephant gathering in Minneriya; Safari in Yala National Park; Safari in Habarana
Beach,Low,Family,Budget,Train,"Puttalam, Unawatuna, Pasikudah",Birdwatch at Puttalam Lagoon; Relax at Unawatuna Beach; Enjoy snorkeling in Pasikudah
"Relaxation, Beach",High,Family,Eco-friendly,Bus,"Ella, Galle",Hike Ella Rock; Explore Dutch Fort in Galle
Relaxation,High,Family,Budget,Rental Car,"Negombo, Colombo",Relax on Negombo Beach; Visit a Gangaramaya Temple
Wildlife,Medium,Solo,Budget,Rental Car,"Habarana, Udawalawa",Safari in Habarana; Elephant watching in Udawalawa
"Adventure, Culture",High,Family,Luxury,Bus,"Sinharaja, Nuwara Eliya, Sigiriya",Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya; Visit Sigiriya Rock Fortress
"Culture, Wildlife, Relaxation",Medium,Family,Budget,Bus,"Mihintale, Kalutara, Trincomalee, Udawalawa, Minneriya, Sinharaja, Galle, Ella, Kalutara",Climb Mihintale Rock Temple; Visit Kalutara Bodhiya; Snorkel at Pigeon Island; Elephant watching in Udawalawa; Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest; Explore Dutch Fort in Galle; Hike Ella Rock; Visit Kalutara Bodhiya
"Wildlife, Adventure, Beach",High,Solo,Budget,Bus,"Yala, Nuwara Eliya, Unawatuna, Kalutara, Dickwella, Matara",Safari in Yala National Park; Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach; Visit Kalutara Bodhiya; Visit the Beach; Visit Parey Dewa in Matara
"Relaxation, Wildlife, Beach",High,Group,Luxury,Train,"Kalutara, Nuwara Eliya, Wilpattu, Minneriya, Hikkaduwa",Visit Kalutara Bodhiya; Tour tea plantations in Nuwara Eliya; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Snorkel in Hikkaduwa
"Adventure, Relaxation, Culture",Low,Group,Budget,Bus,"Sinharaja, Ella, Mirissa, Unawatuna, Galle, Kalutara, Kandy",Trek in Sinharaja Rainforest; Hike Ella Rock; Go whale watching in Mirissa; Relax at Unawatuna Beach; Explore Dutch Fort in Galle; Visit Kalutara Bodhiya; Visit the Temple of the Sacred Tooth Relic
"Wildlife, Adventure, Culture",High,Solo,Luxury,Rental Car,"Yala, Udawalawa, Nuwara Eliya, Mirissa, Arugambay, Dambulla, Anuradhapura, Kandy",Safari in Yala National Park; Elephant watching in Udawalawa; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa; Surf in Arugambay; Explore Dambulla Cave Temple; Visit ancient stupas in Anuradhapura; Visit the Temple of the Sacred Tooth Relic
"Beach, Adventure, Relaxation",Low,Group,Eco-friendly,Rental Car,"Arugambay, Ella, Kalutara, Mirissa, Ella",Surf in Arugambay; Hike Ella Rock; Visit Kalutara Bodhiya; Go whale watching in Mirissa; Hike Ella Rock
"Adventure, Relaxation",Low,Family,Budget,Bus,"Hikkaduwa, Arugambay, Colombo",Snorkel in Hikkaduwa; Surf in Arugambay; Visit a Gangaramaya Temple
"Adventure, Relaxation, Culture",High,Group,Budget,Train,"Mirissa, Arugambay, Sinharaja, Hatton, Mirissa, Dambulla, Kandy, Koggala, Dambulla",Go whale watching in Mirissa; Surf in Arugambay; Trek in Sinharaja Rainforest; Hike Adam’s Peak; Go whale watching in Mirissa; Explore Dambulla Cave Temple; Visit the Temple of the Sacred Tooth Relic; Relax at Koggala Beach; Explore Dambulla Cave Temple
"Wildlife, Beach",High,Family,Eco-friendly,Rental Car,"Yala, Minneriya, Arugambay, Tangalle, Puttalam",Safari in Yala National Park; Visit the elephant gathering in Minneriya; Surf in Arugambay; Relax at Tangalle Beach; Birdwatch at Puttalam Lagoon
"Culture, Adventure, Wildlife",Low,Solo,Luxury,Bus,"Koggala, Trincomalee, Ratnapura, Mirissa, Hikkaduwa, Wilpattu, Habarana, Udawalawa",Relax at Koggala Beach; Snorkel at Pigeon Island; Visit gem mines in Ratnapura; Go whale watching in Mirissa; Snorkel in Hikkaduwa; Explore Wilpattu National Park; Safari in Habarana; Elephant watching in Udawalawa
"Beach, Wildlife",High,Group,Luxury,Bus,"Kalutara, Wilpattu, Udawalawa, Yala",Visit Kalutara Bodhiya; Explore Wilpattu National Park; Elephant watching in Udawalawa; Safari in Yala National Park
"Relaxation, Adventure",Low,Solo,Budget,Train,"Kandy, Hatton, Unawatuna",Visit the Temple of the Sacred Tooth Relic; Hike Adam’s Peak; Relax at Unawatuna Beach
"Wildlife, Culture, Relaxation",High,Family,Eco-friendly,Rental Car,"Udawalawa, Jaffna, Ratnapura, Galle, Kalutara, Unawatuna, Colombo",Elephant watching in Udawalawa; Visit Jaffna Fort; Visit gem mines in Ratnapura; Explore Dutch Fort in Galle; Visit Kalutara Bodhiya; Relax at Unawatuna Beach; Visit a Gangaramaya Temple
"Culture, Relaxation, Wildlife",Medium,Group,Eco-friendly,Bus,"Mihintale, Jaffna, Galle, Yala, Udawalawa, Wilpattu",Climb Mihintale Rock Temple; Visit Jaffna Fort; Explore Dutch Fort in Galle; Safari in Yala National Park; Elephant watching in Udawalawa; Explore Wilpattu National Park
Relaxation,Low,Group,Eco-friendly,Bus,Unawatuna,Relax at Unawatuna Beach
"Beach, Wildlife",High,Family,Luxury,Train,"Puttalam, Matara, Unawatuna, Udawalawa",Birdwatch at Puttalam Lagoon; Visit Parey Dewa in Matara; Relax at Unawatuna Beach; Elephant watching in Udawalawa
"Adventure, Wildlife, Beach",Low,Solo,Luxury,Train,"Hikkaduwa, Arugambay, Mirissa, Yala, Hambanthota",Snorkel in Hikkaduwa; Surf in Arugambay; Go whale watching in Mirissa; Safari in Yala National Park; Explore Bundala National Park
"Relaxation, Adventure, Beach",Low,Group,Eco-friendly,Rental Car,"Kandy, Hatton, Nuwara Eliya, Unawatuna, Mirissa, Galle, Hikkaduwa",Visit the Temple of the Sacred Tooth Relic; Hike Adam’s Peak; Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach; Go whale watching in Mirissa; Explore Dutch Fort in Galle; Snorkel in Hikkaduwa
"Culture, Beach, Adventure",High,Group,Eco-friendly,Rental Car,"Galle, Hikkaduwa, Hambanthota, Tangalle, Unawatuna, Mirissa, Arugambay",Explore Dutch Fort in Galle; Snorkel in Hikkaduwa; Explore Bundala National Park; Relax at Tangalle Beach; Relax at Unawatuna Beach; Go whale watching in Mirissa; Surf in Arugambay
Relaxation,Medium,Group,Luxury,Rental Car,"Colombo, Arugambay",Visit a Gangaramaya Temple; Surf in Arugambay
Relaxation,Low,Solo,Budget,Bus,"Kandy, Galle, Koggala",Visit the Temple of the Sacred Tooth Relic; Explore Dutch Fort in Galle; Relax at Koggala Beach
Beach,High,Solo,Budget,Rental Car,"Puttalam, Matara",Birdwatch at Puttalam Lagoon; Visit Parey Dewa in Matara
"Beach, Wildlife",Medium,Family,Luxury,Train,"Hikkaduwa, Wilpattu",Snorkel in Hikkaduwa; Explore Wilpattu National Park
"Beach, Wildlife",Low,Group,Luxury,Rental Car,"Matara, Galle, Habarana, Udawalawa",Visit Parey Dewa in Matara; Explore Dutch Fort in Galle; Safari in Habarana; Elephant watching in Udawalawa
Culture,Low,Family,Luxury,Rental Car,"Galle, Dambulla",Explore Dutch Fort in Galle; Explore Dambulla Cave Temple
"Relaxation, Beach",Low,Group,Budget,Bus,"Weligama, Dambulla, Mirissa, Hikkaduwa",Take surfing lessons in Weligama; Explore Dambulla Cave Temple; Go whale watching in Mirissa; Snorkel in Hikkaduwa
